,Unnamed: 0,Area,equivalent_diameter,MajorAxisLength,MinorAxisLength,Perimeter,Circularity
55,56,1480.2138000000002,43.41274864394911,62.783541980436645,30.73224926140203,169.84446522313888,0.6448096301077705
56,57,170.7939,14.746577483590654,36.71306968266543,8.064017451092926,70.17911360099902,0.4357791650965438
57,58,1125.2304,37.850863163449326,73.19584548420137,21.004653937072717,171.15424884028357,0.48269850224861127
59,60,579.3597000000001,27.15996466613866,43.59785287299297,19.877423120569247,111.83623802114082,0.5820938986569428
62,63,1376.3979000000002,41.862683090915645,51.4653874682431,37.18131483278381,162.2643570317112,0.6569126104465729
63,64,448.7526,23.9033377611312,48.65652008583315,12.488353484854104,106.03225965942632,0.5015806896989913
64,65,559.2663000000001,26.684826572374774,34.77494591885449,20.951278963534936,94.16419474456976,0.7926052067421357
66,67,3245.0841000000005,64.278841014064,68.97938369327905,61.19241922909335,224.56054095713824,0.808665525381562
67,68,586.0575000000001,27.316507545596448,47.51005896242121,16.581584003785864,113.2222055637125,0.5744958169554848
69,70,890.8074000000001,33.678052325256495,42.59566374712466,29.20800214855483,131.02430293599738,0.6520636104838502
70,71,298.05210000000005,19.48054722309821,31.544458126665745,12.375111310703304,74.7271785158556,0.6707255965761432
72,73,204.28290000000004,16.127649134116812,23.07909631624144,12.26396808645762,60.780162287141465,0.6948933695678946
73,74,4644.924300000001,76.90319434887796,108.51354260144323,80.18904813775035,522.5700332281341,0.21374674090786652
74,75,140.65380000000002,13.382301008319558,14.135292136009246,13.807256222470144,42.97806491485659,0.95690234497874
75,76,847.2717000000001,32.844783962982426,37.9477847445799,29.09675716689061,109.69225965942634,0.8848722967471708
77,78,498.9861000000001,25.20573019757957,63.89038065273785,17.942197978512556,134.55424884028358,0.3463406595801806
78,79,579.3597000000001,27.15996466613866,45.094823649275845,18.093652039016536,108.73916769671284,0.6157240786485652
79,80,107.1648,11.68102997015395,16.121822694559125,10.311180530991509,41.59209737228488,0.7784673089538363
81,82,294.70320000000004,19.370796787948493,27.32768476585225,17.018629816588483,76.17817310628422,0.6381659218730843
84,85,120.56040000000002,12.38960325470873,19.19355732183607,8.92739862570737,46.01010819142764,0.7156621276522288
86,87,100.467,11.310108635238992,17.384149211821413,7.92130268208008,36.037070324427965,0.9721523798426678
87,88,505.6839000000001,25.374332279212812,38.9718527156433,17.967610147778494,104.4512109732839,0.5824545362196663
88,89,237.7719,17.399442109068172,30.055195477501663,10.687843007350486,68.79314605842731,0.6313643414983167
90,91,200.93400000000003,15.99490902386804,22.586750673203863,11.827822877711874,51.944140648855935,0.9358153450370209
92,93,562.6152000000001,26.76460201663912,46.323360061276446,20.352790446517886,122.50225965942631,0.47112171883589643
93,94,1982.5488000000005,50.24200962866875,92.7974860397152,30.19909907590752,281.73457341456646,0.3138726395776029
95,96,160.74720000000002,14.306281548517497,19.84569995393022,11.131131437934515,50.4281190105704,0.7943423962385975
96,97,381.7746000000001,22.047460577024488,26.64811601702036,22.809232621875395,87.91618392542698,0.620696414977517
97,98,1245.7908000000002,39.82700228522421,52.8086319066545,32.65119047023458,149.32430293599742,0.702091946181745
98,99,2478.186,56.172274427951145,68.18404881933299,49.51111065690306,212.50855177628097,0.689589976110152
100,101,673.1289,29.275490332086346,61.81629123532358,14.362783907289304,136.6443570317112,0.45302763805009316
101,102,1500.3072000000002,43.70641207295432,63.02818320691421,31.518937222486095,170.4724219465678,0.6487566085508667
102,103,207.63180000000003,16.25930559724315,26.25006871549465,17.98747490655693,85.07922179242667,0.36045969869416555
105,106,462.1482000000001,24.2574805733855,26.815706680967757,23.64890252236265,86.2162380211408,0.7812913070887324
108,109,699.9201,29.852402742074045,42.87229451622529,21.931226152318292,115.11723261156942,0.663708910375964
112,113,137.30490000000003,13.222028148733727,29.471442429034997,7.188487160738807,60.65010819142764,0.4690646886634757
113,114,1054.9035,36.64894066790376,57.92692365036357,23.952454451775075,146.35728670728324,0.6188621162795652
115,116,2960.4276000000004,61.39489791216703,69.631236201416,64.64249988783541,307.0517519304221,0.3945855246880722
116,117,56.93130000000001,8.513940479776739,13.61819328536692,5.304034947932812,27.20104868614244,0.9669180539630464
118,119,147.35160000000002,13.697221765744972,21.421097175654857,9.34555606185106,50.4281190105704,0.7281471965520477
119,120,264.5631,18.353533746876195,23.021252361375044,16.304400622513093,65.0030919627135,0.786812235438905
120,121,133.95600000000002,13.059788530238286,17.65503982852097,9.962082495810709,43.73607573399934,0.880019729718608
121,122,542.5218000000001,26.282317432846387,28.90961069747932,26.200289802332826,103.24916769671285,0.6395197175929715
122,123,519.0795,25.70821943000635,40.88741689139162,24.23726320676313,136.20032457428292,0.3516312435792493
123,124,1275.9309,40.30590128293283,52.720574693604,35.60290913065941,161.19236785085397,0.6170893756234078
124,125,800.3871000000001,31.92310302611413,63.62801497326126,21.88097747553108,170.47242194656778,0.3461000657224491
127,128,227.72520000000003,17.027880959553478,26.80645751893403,13.568302096827562,72.13916769671285,0.549893646036294
130,131,2012.6889000000003,50.62247622084005,53.94275880201859,51.74802902967304,190.7324760422816,0.6952439559565716
